Light,Temperature,Humidity,Result
7.00,         39.00,         56.00,         2.00
47.00,         36.00,         70.00,         3.00
32.00,         23.00,         25.00,         1.00
5.00,         30.00,         47.00,         1.00
7.00,         37.00,         83.00,         2.00
16.00,         39.00,         96.00,         1.00
47.00,         26.00,         68.00,         1.00
14.00,         39.00,         32.00,         2.00
49.00,         38.00,         59.00,         3.00
28.00,         37.00,         42.00,         3.00
12.00,         37.00,         66.00,         2.00
28.00,         32.00,         31.00,         2.00
12.00,         43.00,         52.00,         2.00
12.00,         36.00,         96.00,         1.00
34.00,         42.00,         38.00,         3.00
2.00,         36.00,         66.00,         1.00
31.00,         26.00,         24.00,         1.00
17.00,         38.00,         43.00,         2.00
15.00,         39.00,         33.00,         2.00
36.00,         26.00,         88.00,         1.00
39.00,         37.00,         29.00,         4.00
3.00,         43.00,         95.00,         1.00
44.00,         34.00,         55.00,         3.00
10.00,         41.00,         62.00,         2.00
47.00,         31.00,         75.00,         2.00
16.00,         33.00,         23.00,         2.00
43.00,         34.00,         80.00,         2.00
35.00,         38.00,         50.00,         3.00
8.00,         37.00,         20.00,         2.00
1.00,         41.00,         66.00,         1.00
33.00,         38.00,         70.00,         2.00
46.00,         26.00,         22.00,         3.00
13.00,         30.00,         67.00,         2.00
8.00,         38.00,         79.00,         2.00
37.00,         38.00,         43.00,         4.00
24.00,         36.00,         51.00,         3.00
27.00,         43.00,         92.00,         1.00
18.00,         25.00,         74.00,         1.00
39.00,         30.00,         30.00,         3.00
14.00,         33.00,         35.00,         2.00
19.00,         33.00,         32.00,         2.00
39.00,         39.00,         22.00,         4.00
7.00,         36.00,         88.00,         1.00
1.00,         29.00,         91.00,         1.00
34.00,         34.00,         72.00,         2.00
44.00,         27.00,         50.00,         3.00
23.00,         43.00,         66.00,         2.00
14.00,         40.00,         74.00,         2.00
0.00,         32.00,         46.00,         1.00
17.00,         31.00,         30.00,         2.00
47.00,         43.00,         52.00,         4.00
37.00,         41.00,         37.00,         4.00
22.00,         35.00,         67.00,         2.00
5.00,         24.00,         68.00,         1.00
8.00,         38.00,         50.00,         2.00
6.00,         23.00,         36.00,         1.00
8.00,         23.00,         91.00,         1.00
35.00,         41.00,         88.00,         1.00
7.00,         24.00,         50.00,         1.00
15.00,         38.00,         24.00,         2.00
32.00,         28.00,         80.00,         2.00
7.00,         24.00,         60.00,         1.00
12.00,         26.00,         81.00,         1.00
41.00,         25.00,         62.00,         1.00
19.00,         40.00,         37.00,         2.00
26.00,         41.00,         74.00,         2.00
0.00,         32.00,         63.00,         1.00
42.00,         44.00,         89.00,         3.00
14.00,         38.00,         45.00,         2.00
8.00,         41.00,         29.00,         2.00
35.00,         41.00,         86.00,         1.00
3.00,         27.00,         33.00,         1.00
23.00,         40.00,         97.00,         1.00
19.00,         25.00,         79.00,         1.00
38.00,         34.00,         31.00,         3.00
3.00,         31.00,         43.00,         1.00
44.00,         39.00,         41.00,         4.00
21.00,         32.00,         38.00,         2.00
0.00,         35.00,         81.00,         1.00
13.00,         34.00,         27.00,         2.00
25.00,         31.00,         32.00,         2.00
26.00,         43.00,         33.00,         3.00
23.00,         39.00,         60.00,         2.00
36.00,         27.00,         63.00,         1.00
5.00,         35.00,         98.00,         1.00
44.00,         24.00,         85.00,         1.00
1.00,         35.00,         95.00,         1.00
2.00,         29.00,         79.00,         1.00
16.00,         26.00,         79.00,         1.00
3.00,         39.00,         56.00,         1.00
15.00,         33.00,         81.00,         2.00
2.00,         35.00,         80.00,         1.00
7.00,         39.00,         70.00,         2.00
47.00,         31.00,         28.00,         3.00
23.00,         33.00,         49.00,         2.00
25.00,         29.00,         63.00,         2.00
12.00,         44.00,         61.00,         2.00
26.00,         25.00,         90.00,         1.00
27.00,         31.00,         66.00,         2.00
27.00,         25.00,         66.00,         1.00
20.00,         28.00,         86.00,         1.00
46.00,         39.00,         83.00,         3.00
16.00,         33.00,         35.00,         2.00
49.00,         34.00,         93.00,         2.00
35.00,         38.00,         22.00,         3.00
44.00,         32.00,         88.00,         1.00
27.00,         40.00,         78.00,         2.00
9.00,         29.00,         63.00,         2.00
30.00,         31.00,         68.00,         2.00
35.00,         41.00,         28.00,         3.00
38.00,         39.00,         32.00,         4.00
46.00,         32.00,         88.00,         1.00
46.00,         25.00,         51.00,         3.00
29.00,         29.00,         66.00,         2.00
6.00,         26.00,         34.00,         1.00
38.00,         38.00,         54.00,         4.00
46.00,         41.00,         47.00,         4.00
36.00,         25.00,         23.00,         1.00
35.00,         25.00,         83.00,         1.00
48.00,         37.00,         36.00,         4.00
8.00,         28.00,         29.00,         2.00
17.00,         23.00,         34.00,         1.00
2.00,         32.00,         82.00,         1.00
16.00,         25.00,         20.00,         1.00
17.00,         40.00,         59.00,         2.00
11.00,         43.00,         75.00,         2.00
34.00,         36.00,         58.00,         2.00
1.00,         33.00,         88.00,         1.00
4.00,         27.00,         48.00,         1.00
16.00,         41.00,         85.00,         2.00
45.00,         33.00,         54.00,         3.00
19.00,         37.00,         34.00,         2.00
44.00,         32.00,         43.00,         3.00
4.00,         35.00,         30.00,         1.00
10.00,         34.00,         90.00,         1.00
23.00,         36.00,         38.00,         2.00
45.00,         41.00,         53.00,         4.00
30.00,         27.00,         45.00,         1.00
8.00,         31.00,         36.00,         2.00
36.00,         38.00,         88.00,         3.00
7.00,         36.00,         56.00,         2.00
14.00,         30.00,         41.00,         2.00
14.00,         31.00,         85.00,         2.00
0.00,         35.00,         53.00,         1.00
21.00,         41.00,         42.00,         2.00
46.00,         36.00,         58.00,         3.00
33.00,         23.00,         22.00,         1.00
19.00,         33.00,         40.00,         2.00
16.00,         40.00,         79.00,         2.00
41.00,         43.00,         79.00,         3.00
10.00,         43.00,         91.00,         1.00
32.00,         23.00,         45.00,         1.00
49.00,         43.00,         25.00,         4.00
33.00,         29.00,         82.00,         2.00
32.00,         41.00,         34.00,         3.00
10.00,         38.00,         35.00,         2.00
1.00,         34.00,         81.00,         1.00
46.00,         34.00,         91.00,         2.00
46.00,         38.00,         73.00,         3.00
46.00,         37.00,         69.00,         3.00
29.00,         39.00,         47.00,         3.00
43.00,         33.00,         78.00,         2.00
36.00,         44.00,         27.00,         3.00
16.00,         42.00,         81.00,         2.00
0.00,         44.00,         28.00,         2.00
17.00,         38.00,         34.00,         2.00
38.00,         29.00,         96.00,         1.00
21.00,         39.00,         22.00,         2.00
13.00,         28.00,         83.00,         2.00
14.00,         35.00,         80.00,         2.00
2.00,         25.00,         95.00,         1.00
11.00,         37.00,         46.00,         2.00
22.00,         33.00,         90.00,         1.00
44.00,         25.00,         49.00,         3.00
21.00,         33.00,         42.00,         2.00
10.00,         37.00,         31.00,         2.00
26.00,         42.00,         59.00,         2.00
33.00,         30.00,         23.00,         2.00
46.00,         27.00,         65.00,         1.00
39.00,         28.00,         86.00,         1.00
39.00,         28.00,         21.00,         3.00
29.00,         37.00,         48.00,         3.00
3.00,         30.00,         49.00,         1.00
11.00,         25.00,         92.00,         1.00
33.00,         37.00,         43.00,         3.00
22.00,         23.00,         63.00,         1.00
9.00,         27.00,         83.00,         1.00
16.00,         30.00,         86.00,         1.00
20.00,         24.00,         61.00,         1.00
46.00,         25.00,         52.00,         3.00
9.00,         35.00,         92.00,         1.00
46.00,         35.00,         38.00,         4.00
27.00,         37.00,         28.00,         3.00
30.00,         32.00,         78.00,         2.00
18.00,         39.00,         35.00,         2.00
44.00,         23.00,         89.00,         1.00
7.00,         30.00,         73.00,         1.00
37.00,         31.00,         80.00,         2.00
20.00,         44.00,         98.00,         1.00
21.00,         31.00,         81.00,         2.00
2.00,         42.00,         26.00,         2.00
32.00,         27.00,         97.00,         1.00
41.00,         39.00,         48.00,         4.00
1.00,         26.00,         36.00,         1.00
46.00,         28.00,         82.00,         2.00
8.00,         32.00,         44.00,         2.00
30.00,         28.00,         97.00,         1.00
5.00,         24.00,         50.00,         1.00
35.00,         38.00,         70.00,         2.00
21.00,         44.00,         68.00,         2.00
35.00,         30.00,         84.00,         2.00
10.00,         28.00,         76.00,         1.00
4.00,         36.00,         65.00,         1.00
5.00,         29.00,         44.00,         1.00
45.00,         43.00,         32.00,         4.00
46.00,         26.00,         41.00,         3.00
42.00,         23.00,         81.00,         1.00
2.00,         25.00,         78.00,         1.00
38.00,         23.00,         74.00,         1.00
19.00,         40.00,         90.00,         1.00
22.00,         33.00,         24.00,         2.00
14.00,         36.00,         45.00,         2.00
23.00,         23.00,         37.00,         1.00
44.00,         33.00,         30.00,         3.00
2.00,         31.00,         20.00,         1.00
8.00,         28.00,         45.00,         2.00
47.00,         36.00,         26.00,         4.00
46.00,         24.00,         73.00,         1.00
41.00,         39.00,         28.00,         4.00
5.00,         31.00,         55.00,         1.00
22.00,         25.00,         47.00,         1.00
33.00,         34.00,         22.00,         2.00
43.00,         34.00,         54.00,         3.00
46.00,         31.00,         38.00,         3.00
47.00,         39.00,         91.00,         3.00
24.00,         26.00,         64.00,         1.00
43.00,         34.00,         70.00,         2.00
21.00,         30.00,         96.00,         1.00
28.00,         34.00,         66.00,         2.00
21.00,         24.00,         58.00,         1.00
19.00,         35.00,         23.00,         2.00
30.00,         24.00,         97.00,         1.00
12.00,         28.00,         93.00,         1.00
30.00,         34.00,         62.00,         2.00
13.00,         35.00,         57.00,         2.00
37.00,         40.00,         35.00,         4.00
42.00,         33.00,         80.00,         2.00
32.00,         41.00,         77.00,         2.00
37.00,         39.00,         87.00,         3.00
4.00,         40.00,         50.00,         2.00
36.00,         37.00,         88.00,         3.00
2.00,         35.00,         34.00,         1.00
17.00,         28.00,         81.00,         2.00
27.00,         37.00,         63.00,         2.00
33.00,         42.00,         78.00,         2.00
5.00,         28.00,         44.00,         1.00
26.00,         42.00,         87.00,         1.00
34.00,         26.00,         78.00,         1.00
47.00,         38.00,         91.00,         3.00
5.00,         34.00,         71.00,         1.00
49.00,         33.00,         79.00,         2.00
33.00,         32.00,         84.00,         2.00
30.00,         44.00,         85.00,         2.00
10.00,         35.00,         60.00,         2.00
49.00,         26.00,         68.00,         1.00
43.00,         35.00,         31.00,         4.00
17.00,         27.00,         23.00,         1.00
40.00,         23.00,         36.00,         3.00
38.00,         41.00,         63.00,         3.00
36.00,         24.00,         75.00,         1.00
26.00,         41.00,         60.00,         2.00
1.00,         27.00,         60.00,         1.00
29.00,         42.00,         31.00,         3.00
40.00,         25.00,         68.00,         1.00
22.00,         34.00,         21.00,         2.00
21.00,         25.00,         37.00,         1.00
48.00,         39.00,         63.00,         3.00
32.00,         31.00,         31.00,         2.00
10.00,         34.00,         84.00,         2.00
7.00,         23.00,         40.00,         1.00
10.00,         40.00,         49.00,         2.00
39.00,         36.00,         94.00,         3.00
18.00,         44.00,         37.00,         2.00
46.00,         37.00,         59.00,         3.00
20.00,         25.00,         80.00,         1.00
29.00,         25.00,         91.00,         1.00
20.00,         28.00,         87.00,         1.00
47.00,         23.00,         35.00,         3.00
39.00,         31.00,         39.00,         3.00
33.00,         38.00,         47.00,         3.00
6.00,         26.00,         96.00,         1.00
23.00,         37.00,         33.00,         2.00
27.00,         44.00,         75.00,         2.00
36.00,         31.00,         26.00,         2.00
22.00,         43.00,         89.00,         1.00
15.00,         39.00,         88.00,         1.00
47.00,         28.00,         62.00,         2.00
32.00,         29.00,         84.00,         2.00
35.00,         39.00,         92.00,         1.00
46.00,         33.00,         62.00,         3.00
36.00,         26.00,         69.00,         1.00
33.00,         40.00,         98.00,         1.00
17.00,         36.00,         36.00,         2.00
27.00,         26.00,         90.00,         1.00
0.00,         42.00,         62.00,         1.00
27.00,         28.00,         28.00,         2.00
24.00,         24.00,         55.00,         1.00
43.00,         26.00,         50.00,         3.00
12.00,         35.00,         63.00,         2.00
18.00,         24.00,         55.00,         1.00
2.00,         24.00,         59.00,         1.00
11.00,         24.00,         75.00,         1.00
45.00,         26.00,         60.00,         1.00
18.00,         27.00,         74.00,         1.00
46.00,         26.00,         45.00,         3.00
47.00,         24.00,         88.00,         1.00
42.00,         28.00,         25.00,         3.00
6.00,         30.00,         63.00,         2.00
23.00,         41.00,         70.00,         2.00
14.00,         31.00,         80.00,         2.00
7.00,         26.00,         67.00,         1.00
34.00,         23.00,         61.00,         1.00
14.00,         39.00,         53.00,         2.00
30.00,         33.00,         21.00,         2.00
26.00,         32.00,         66.00,         2.00
49.00,         32.00,         90.00,         1.00
34.00,         28.00,         21.00,         2.00
30.00,         44.00,         49.00,         3.00
39.00,         44.00,         87.00,         3.00
16.00,         34.00,         52.00,         2.00
37.00,         38.00,         80.00,         3.00
31.00,         36.00,         65.00,         2.00
42.00,         34.00,         25.00,         3.00
43.00,         34.00,         69.00,         3.00
48.00,         24.00,         27.00,         3.00
21.00,         39.00,         31.00,         2.00
36.00,         28.00,         50.00,         3.00
24.00,         44.00,         56.00,         2.00
17.00,         33.00,         87.00,         1.00
2.00,         44.00,         86.00,         1.00
5.00,         23.00,         59.00,         1.00
22.00,         26.00,         93.00,         1.00
22.00,         36.00,         74.00,         2.00
42.00,         32.00,         84.00,         2.00
31.00,         43.00,         47.00,         3.00
11.00,         23.00,         28.00,         1.00
6.00,         24.00,         26.00,         1.00
45.00,         43.00,         94.00,         3.00
13.00,         25.00,         95.00,         1.00
45.00,         30.00,         55.00,         2.00
20.00,         27.00,         59.00,         1.00
31.00,         23.00,         49.00,         1.00
30.00,         28.00,         66.00,         2.00
30.00,         25.00,         60.00,         1.00
45.00,         28.00,         37.00,         3.00
42.00,         23.00,         79.00,         1.00
17.00,         42.00,         57.00,         2.00
44.00,         32.00,         41.00,         3.00
32.00,         41.00,         35.00,         3.00
40.00,         24.00,         35.00,         3.00
8.00,         28.00,         21.00,         2.00
1.00,         34.00,         98.00,         1.00
7.00,         27.00,         52.00,         1.00
16.00,         41.00,         91.00,         1.00
36.00,         38.00,         20.00,         3.00
20.00,         30.00,         78.00,         2.00
39.00,         41.00,         59.00,         3.00
13.00,         23.00,         78.00,         1.00
6.00,         39.00,         67.00,         2.00
42.00,         36.00,         27.00,         4.00
38.00,         30.00,         81.00,         2.00
4.00,         23.00,         48.00,         1.00
18.00,         40.00,         78.00,         2.00
30.00,         31.00,         59.00,         2.00
6.00,         29.00,         83.00,         1.00
39.00,         34.00,         76.00,         2.00
37.00,         41.00,         83.00,         3.00
4.00,         32.00,         84.00,         1.00
10.00,         38.00,         53.00,         2.00
44.00,         31.00,         84.00,         2.00
2.00,         23.00,         90.00,         1.00
26.00,         29.00,         69.00,         2.00
16.00,         31.00,         46.00,         2.00
41.00,         37.00,         60.00,         3.00
0.00,         42.00,         94.00,         1.00
9.00,         39.00,         53.00,         2.00
28.00,         26.00,         81.00,         1.00
31.00,         42.00,         21.00,         3.00
4.00,         37.00,         93.00,         1.00
17.00,         27.00,         56.00,         1.00
41.00,         36.00,         70.00,         3.00
2.00,         26.00,         32.00,         1.00
31.00,         26.00,         58.00,         1.00
6.00,         42.00,         98.00,         1.00
4.00,         26.00,         20.00,         1.00
31.00,         41.00,         59.00,         2.00
28.00,         35.00,         87.00,         2.00
35.00,         26.00,         79.00,         1.00
42.00,         25.00,         86.00,         1.00
39.00,         31.00,         97.00,         1.00
17.00,         38.00,         86.00,         1.00
38.00,         24.00,         34.00,         3.00
41.00,         36.00,         82.00,         3.00
15.00,         27.00,         55.00,         1.00
41.00,         27.00,         43.00,         3.00
14.00,         41.00,         53.00,         2.00
0.00,         25.00,         59.00,         1.00
47.00,         41.00,         81.00,         3.00
12.00,         42.00,         53.00,         2.00
24.00,         28.00,         30.00,         2.00
25.00,         44.00,         47.00,         3.00
37.00,         25.00,         30.00,         3.00
8.00,         25.00,         54.00,         1.00
28.00,         32.00,         60.00,         2.00
18.00,         42.00,         75.00,         2.00
34.00,         44.00,         61.00,         2.00
14.00,         38.00,         75.00,         2.00
27.00,         38.00,         69.00,         2.00
42.00,         41.00,         40.00,         4.00
38.00,         40.00,         57.00,         3.00
29.00,         40.00,         54.00,         3.00
28.00,         36.00,         96.00,         1.00
14.00,         27.00,         93.00,         1.00
48.00,         43.00,         65.00,         3.00
21.00,         42.00,         29.00,         2.00
45.00,         35.00,         81.00,         2.00
1.00,         37.00,         39.00,         2.00
49.00,         34.00,         27.00,         3.00
26.00,         29.00,         67.00,         2.00
33.00,         38.00,         42.00,         3.00
25.00,         41.00,         28.00,         3.00
23.00,         37.00,         84.00,         2.00
41.00,         37.00,         33.00,         4.00
34.00,         41.00,         61.00,         2.00
37.00,         26.00,         53.00,         3.00
38.00,         28.00,         49.00,         3.00
47.00,         43.00,         90.00,         3.00
18.00,         37.00,         61.00,         2.00
5.00,         31.00,         64.00,         1.00
21.00,         36.00,         61.00,         2.00
49.00,         41.00,         97.00,         3.00
19.00,         37.00,         75.00,         2.00
43.00,         34.00,         78.00,         2.00
13.00,         38.00,         38.00,         2.00
12.00,         39.00,         29.00,         2.00
47.00,         24.00,         28.00,         3.00
4.00,         27.00,         63.00,         1.00
2.00,         24.00,         55.00,         1.00
41.00,         36.00,         78.00,         3.00
13.00,         39.00,         56.00,         2.00
48.00,         28.00,         44.00,         3.00
43.00,         39.00,         61.00,         3.00
20.00,         36.00,         26.00,         2.00
42.00,         30.00,         70.00,         2.00
13.00,         28.00,         42.00,         2.00
5.00,         36.00,         50.00,         2.00
42.00,         27.00,         86.00,         1.00
29.00,         40.00,         62.00,         2.00
39.00,         39.00,         94.00,         3.00
40.00,         27.00,         65.00,         1.00
48.00,         34.00,         35.00,         3.00
19.00,         28.00,         54.00,         2.00
40.00,         44.00,         20.00,         4.00
5.00,         36.00,         80.00,         1.00
6.00,         31.00,         45.00,         2.00
14.00,         24.00,         65.00,         1.00
9.00,         35.00,         84.00,         2.00
34.00,         26.00,         47.00,         1.00
26.00,         27.00,         75.00,         1.00
39.00,         40.00,         42.00,         4.00
16.00,         40.00,         91.00,         1.00
43.00,         42.00,         88.00,         3.00
13.00,         41.00,         95.00,         1.00
19.00,         35.00,         77.00,         2.00
7.00,         33.00,         34.00,         2.00
25.00,         31.00,         24.00,         2.00
32.00,         43.00,         92.00,         1.00
14.00,         25.00,         98.00,         1.00
0.00,         36.00,         82.00,         1.00
42.00,         41.00,         88.00,         3.00
13.00,         44.00,         47.00,         2.00
29.00,         37.00,         75.00,         2.00
46.00,         43.00,         48.00,         4.00
43.00,         25.00,         77.00,         1.00
44.00,         34.00,         32.00,         3.00
7.00,         27.00,         59.00,         1.00
13.00,         39.00,         75.00,         2.00
18.00,         30.00,         95.00,         1.00
29.00,         23.00,         54.00,         1.00
17.00,         24.00,         68.00,         1.00
12.00,         27.00,         85.00,         1.00
20.00,         43.00,         95.00,         1.00
9.00,         28.00,         93.00,         1.00
3.00,         25.00,         61.00,         1.00
24.00,         40.00,         37.00,         2.00
27.00,         32.00,         28.00,         2.00
44.00,         33.00,         54.00,         3.00
48.00,         25.00,         56.00,         1.00
41.00,         29.00,         44.00,         3.00
32.00,         36.00,         53.00,         3.00
22.00,         42.00,         41.00,         2.00
22.00,         37.00,         86.00,         1.00
0.00,         36.00,         90.00,         1.00
41.00,         23.00,         62.00,         1.00
6.00,         44.00,         71.00,         2.00
1.00,         27.00,         50.00,         1.00
16.00,         43.00,         60.00,         2.00
31.00,         32.00,         56.00,         2.00
49.00,         42.00,         28.00,         4.00
15.00,         38.00,         28.00,         2.00
20.00,         36.00,         98.00,         1.00
36.00,         44.00,         87.00,         1.00
46.00,         23.00,         29.00,         3.00
0.00,         40.00,         53.00,         2.00
37.00,         44.00,         50.00,         4.00
42.00,         37.00,         37.00,         4.00
9.00,         33.00,         37.00,         2.00
27.00,         32.00,         95.00,         1.00
32.00,         30.00,         35.00,         2.00
28.00,         36.00,         57.00,         2.00
17.00,         43.00,         27.00,         2.00
29.00,         23.00,         91.00,         1.00
33.00,         44.00,         80.00,         2.00
9.00,         27.00,         94.00,         1.00
7.00,         43.00,         75.00,         2.00
29.00,         37.00,         74.00,         2.00
41.00,         28.00,         31.00,         3.00
9.00,         44.00,         96.00,         1.00
1.00,         23.00,         26.00,         1.00
28.00,         30.00,         66.00,         2.00
23.00,         38.00,         70.00,         2.00
27.00,         36.00,         90.00,         1.00
30.00,         40.00,         84.00,         2.00
34.00,         37.00,         88.00,         1.00
49.00,         32.00,         31.00,         3.00
36.00,         43.00,         51.00,         3.00
22.00,         32.00,         56.00,         2.00
32.00,         25.00,         41.00,         1.00
2.00,         41.00,         36.00,         2.00
17.00,         39.00,         69.00,         2.00
17.00,         33.00,         53.00,         2.00
31.00,         24.00,         47.00,         1.00
14.00,         36.00,         24.00,         2.00
26.00,         35.00,         38.00,         2.00
25.00,         35.00,         21.00,         2.00
16.00,         31.00,         24.00,         2.00
3.00,         43.00,         41.00,         2.00
3.00,         30.00,         25.00,         1.00
28.00,         31.00,         84.00,         2.00
31.00,         25.00,         34.00,         1.00
4.00,         35.00,         33.00,         1.00
13.00,         44.00,         45.00,         2.00
37.00,         39.00,         88.00,         3.00
41.00,         31.00,         89.00,         1.00
3.00,         38.00,         56.00,         1.00
38.00,         43.00,         39.00,         4.00
21.00,         33.00,         94.00,         1.00
27.00,         42.00,         71.00,         2.00
28.00,         28.00,         27.00,         2.00
7.00,         23.00,         53.00,         1.00
20.00,         37.00,         56.00,         2.00
33.00,         23.00,         67.00,         1.00
32.00,         40.00,         48.00,         3.00
10.00,         41.00,         63.00,         2.00
43.00,         28.00,         53.00,         3.00
14.00,         33.00,         66.00,         2.00
19.00,         43.00,         33.00,         2.00
6.00,         31.00,         70.00,         2.00
24.00,         33.00,         29.00,         2.00
26.00,         43.00,         28.00,         3.00
4.00,         28.00,         61.00,         1.00
37.00,         33.00,         69.00,         3.00
30.00,         41.00,         94.00,         1.00
29.00,         30.00,         25.00,         2.00
26.00,         39.00,         53.00,         3.00
35.00,         34.00,         57.00,         2.00
37.00,         28.00,         83.00,         2.00
37.00,         33.00,         73.00,         2.00
13.00,         34.00,         96.00,         1.00
44.00,         38.00,         94.00,         3.00
1.00,         30.00,         58.00,         1.00
49.00,         33.00,         49.00,         3.00
14.00,         38.00,         24.00,         2.00
49.00,         28.00,         82.00,         2.00
13.00,         30.00,         97.00,         1.00
14.00,         37.00,         70.00,         2.00
46.00,         30.00,         41.00,         3.00
1.00,         43.00,         93.00,         1.00
26.00,         23.00,         41.00,         1.00
19.00,         34.00,         69.00,         2.00
43.00,         41.00,         95.00,         3.00
40.00,         40.00,         78.00,         3.00
31.00,         44.00,         67.00,         2.00
20.00,         29.00,         27.00,         2.00
34.00,         39.00,         94.00,         1.00
6.00,         33.00,         63.00,         2.00
46.00,         43.00,         49.00,         4.00
35.00,         39.00,         56.00,         2.00
28.00,         26.00,         86.00,         1.00
25.00,         39.00,         43.00,         3.00
45.00,         36.00,         30.00,         4.00
38.00,         35.00,         20.00,         4.00
33.00,         38.00,         69.00,         2.00
10.00,         36.00,         78.00,         2.00
15.00,         33.00,         82.00,         2.00
22.00,         24.00,         38.00,         1.00
47.00,         38.00,         77.00,         3.00
45.00,         36.00,         52.00,         4.00
45.00,         37.00,         74.00,         3.00
7.00,         31.00,         67.00,         2.00
46.00,         26.00,         48.00,         3.00
14.00,         41.00,         26.00,         2.00
17.00,         29.00,         89.00,         1.00
17.00,         28.00,         86.00,         1.00
47.00,         25.00,         69.00,         1.00
6.00,         37.00,         30.00,         2.00
27.00,         27.00,         95.00,         1.00
37.00,         40.00,         31.00,         4.00
39.00,         34.00,         41.00,         3.00
45.00,         34.00,         24.00,         3.00
42.00,         32.00,         79.00,         2.00
48.00,         28.00,         97.00,         1.00
24.00,         28.00,         30.00,         2.00
15.00,         28.00,         39.00,         2.00
41.00,         25.00,         35.00,         3.00
40.00,         42.00,         44.00,         4.00
19.00,         33.00,         57.00,         2.00
37.00,         37.00,         84.00,         3.00
9.00,         25.00,         89.00,         1.00
25.00,         24.00,         43.00,         1.00
39.00,         40.00,         87.00,         3.00
